Position,Freq_D,Freq_R,SNPs
1977,100,100,1
2532,100,100,1
7585,100,100,1
9143,100,100,1
9304,100,99.24,1
13460,99.05,99.41,1
14401,100,100,1
15117,100,100,1
15525,100,100,1
15992,98.67,100,1
17108,99.13,100,1
17835,100,100,1
17904,100,97.3,1
21819,100,100,1
23174,100,100,1
27469,100,100,1
28640,100,100,1
32512,100,100,1
34592,100,98.85,1
36538,100,100,1
37031,100,100,1
39758,100,100,1
42281,100,100,1
43945,100,100,1
46966,100,100,1
50557,95.89,100,1
51949,100,100,1
54394,100,100,1
70267,100,100,1
75032,100,100,1
80616,98.78,100,1
81649,100,100,1
87502,100,100,1
89200,100,100,1
92199,100,100,1
97696,100,99.29,1
103600,100,100,1
117398,100,100,1
122755,98.65,100,1
123520,100,100,1
126803,100,100,1
129579,99.02,100,1
139756,100,100,1
143207,100,100,1
145596,100,100,1
158323,100,100,1
167145,100,100,1
194681,100,100,1
195360,100,100,1
196642,100,100,1
199470,99.2,100,1
200071,100,100,1
206481,95.74,94.83,1
206484,95.83,98.23,1
208322,100,100,1
212244,100,100,1
217201,100,100,1
222482,100,100,1
223752,100,98.15,1
225668,100,100,1
227707,100,100,1
231114,100,100,1
232361,100,100,1
233358,100,100,1
233364,98.99,98.61,1
243598,98.81,100,1
246860,100,100,1
249522,100,100,1
251248,100,100,1
251575,100,100,1
251669,100,100,1
260282,100,100,1
283614,100,100,1
285871,98.98,100,1
304923,100,100,1
309765,100,99.35,1
320180,100,100,1
325505,100,100,1
331588,98.48,100,1
342146,99.18,100,1
343281,100,100,1
354850,0,100,2
376774,100,100,1
381030,100,100,1
391853,100,100,1
392261,100,100,1
404326,99,100,1
412280,100,100,1
422745,100,100,1
438271,100,100,1
440386,100,100,1
445780,100,100,1
447442,100,100,1
455325,100,100,1
455329,100,100,1
457452,100,100,1
468357,98.91,100,1
483935,100,99.3,1
489935,100,99.42,1
491742,100,100,1
492150,100,100,1
496239,100,100,1
498531,100,100,1
498557,98.85,100,1
505974,100,100,1
509377,100,100,1
514657,100,100,1
517358,100,100,1
517411,100,100,1
519185,100,100,1
522081,100,100,1
524891,100,100,1
