Position,Freq_D,Freq_R,SNPs
2532,100,100,1
7582,94.39,96.3,1
9143,99.07,100,1
13460,100,100,1
14251,100,100,1
14401,100,100,1
15117,100,100,1
17608,100,100,1
23174,100,100,1
27469,100,100,1
33457,100,100,1
33551,100,100,1
35097,100,96.15,1
36538,99,100,1
39758,100,100,1
40162,100,97.56,1
42281,100,100,1
43945,100,100,1
50557,95.77,100,1
50854,100,100,1
51949,100,100,1
54394,100,100,1
60821,99.21,100,1
63771,99.22,100,1
70267,100,100,1
74059,100,100,1
89200,100,100,1
97696,100,100,1
101727,97.65,100,1
103600,100,100,1
123520,100,100,1
126803,100,100,1
133862,100,100,1
135542,100,100,1
139756,100,100,1
143207,100,100,1
157292,100,98.25,1
157663,100,100,1
162581,100,95.83,1
176303,100,96,1
195360,100,100,1
199470,100,100,1
203269,100,100,1
206481,100,100,1
206484,100,100,1
207226,100,100,1
208322,98.78,100,1
212353,100,100,1
217201,100,100,1
223752,100,100,1
225668,100,100,1
233358,100,100,1
233364,98.75,100,1
234051,100,96,1
243598,100,100,1
249522,100,100,1
251575,100,100,1
251669,100,100,1
256950,95.45,100,1
260282,100,100,1
265744,89.77,100,1
265745,89.89,100,1
282188,100,100,1
282822,100,100,1
302615,100,100,1
304923,100,97.3,1
309765,100,100,1
316129,100,100,1
320180,100,100,1
325505,100,100,1
331588,100,100,1
342146,97.96,100,1
343281,100,100,1
381030,100,100,1
391853,100,100,1
392261,100,100,1
398089,100,100,1
408723,100,100,1
412280,100,100,1
422745,100,100,1
437128,100,100,1
438271,100,100,1
444351,100,96.97,1
445780,99.22,100,1
447442,100,100,1
455325,99,100,1
455329,100,100,1
468357,100,100,1
478358,100,100,1
483935,100,100,1
491742,100,100,1
492150,100,100,1
498531,98.89,100,1
505974,100,100,1
507334,100,100,1
514657,98.67,100,1
517358,100,100,1
517411,100,100,1
519185,100,100,1
522081,100,100,1
524891,100,100,1
527316,100,100,1
528354,100,100,1
534427,100,97.92,1
534691,99.18,100,1
541329,100,100,1
546357,97.94,100,1
555991,100,100,1
557133,100,100,1
563420,100,97.67,1
565404,100,100,1
565655,100,100,1
567631,99.05,100,1
569897,54.55,27.27,1
571943,100,100,1
573384,100,100,1
580772,97.78,100,1
584171,100,100,1
589536,99.16,97.83,1
590763,100,100,1
599868,100,100,1
632330,100,100,1
637922,100,100,1
643101,100,100,1
648856,100,100,1
655986,100,97.78,1
657578,100,100,1
659341,100,100,1
662911,100,100,1
663907,98.7,100,1
664249,100,100,1
667659,98.97,97.06,1
670545,100,100,1
684290,100,100,1
690248,100,100,1
690450,100,100,1
700776,100,100,1
705602,98.75,100,1
709226,100,100,1
712693,100,100,1
713310,100,100,1
715266,100,100,1
717588,100,100,1
726703,100,100,1
733798,100,100,1
736710,100,97.14,1
752343,100,100,1
757182,99.03,100,1
763031,100,100,1
764995,99.22,100,1
767414,100,100,1
767480,100,100,1
773809,100,100,1
776100,100,100,1
784440,98.15,100,1
790180,100,100,1
796509,100,100,1
815236,100,100,1
815851,100,100,1
820752,100,100,1
821907,100,96.97,1
832201,100,100,1
832246,100,100,1
843391,97.37,100,1
871271,100,100,1
885542,98.89,100,1
894888,100,100,1
909280,100,100,1
911261,100,100,1
913274,100,100,1
916046,100,100,1
919466,98.26,97.73,1
931123,100,100,1
932280,100,100,1
933699,100,100,1
934230,100,100,1
934611,100,100,1
938246,100,100,1
941845,100,100,1
942479,98.75,100,1
948294,100,100,1
951142,100,100,1
957117,98.59,100,1
960367,99.15,97.44,1
972372,100,100,1
990533,100,97.22,1
996982,100,100,1
1011198,99.08,100,1
1014815,100,97.67,1
1024346,100,100,1
1032913,100,100,1
1037355,100,100,1
1040706,100,100,1
1041129,100,100,1
1041445,100,95.74,1
1054784,100,100,1
1055049,100,100,1
1057788,100,100,1
1062208,91.75,100,1
1063765,98.92,100,1
1071797,100,100,1
1080192,100,100,1
1081211,98.94,100,1
1088858,97.87,100,1
1097023,100,100,1
1098523,100,100,1
1103249,99.06,100,1
1104690,100,100,1
1105284,100,100,1
1107434,100,100,1
1107917,100,100,1
1107940,100,100,1
1109163,100,100,1
1110956,100,100,1
1111784,97.96,100,1
1113290,100,100,1
1123597,100,100,1
1131300,100,100,1
1132368,100,100,1
1142266,100,100,1
1143832,100,100,1
1144585,100,100,1
1148259,100,100,1
1186461,98.78,100,1
1199547,100,100,1
1203824,98.8,100,1
1207431,100,100,1
1211369,100,100,1
1220570,100,100,1
1230778,100,100,1
1235446,100,100,1
1248382,100,100,1
1248936,100,100,1
1250340,98.85,100,1
1250357,100,100,1
1251199,100,97.44,1
1254562,100,100,1
1281443,98.82,100,1
1281771,100,100,1
1287112,100,100,1
1297327,100,93.55,1
1297999,100,100,1
1305593,38.46,26.92,1
1306259,100,100,1
1310316,100,100,1
1317059,100,100,1
1327942,100,100,1
1341040,100,100,1
1341044,97.17,98.11,1
1351172,100,100,1
1354437,99.07,100,1
1358940,100,100,1
1362006,100,100,1
1367484,100,100,1
1368947,100,100,1
1373170,100,100,1
1389738,100,100,1
1390763,100,100,1
1395010,100,100,1
1397201,100,100,1
1400396,100,100,1
1404169,100,100,1
1410062,100,100,1
1417554,100,100,1
1424699,97.96,100,1
1428506,100,100,1
1441533,100,100,1
1445474,97.62,100,1
1446923,100,96.88,1
1447774,100,100,1
1448907,100,100,1
1452071,100,97.5,1
1458144,99.07,100,1
1479085,100,100,1
1480024,100,97.06,1
1480945,100,98.28,1
1480948,100,100,1
1481185,99.37,96.67,1
1490905,100,100,1
1490911,100,100,1
1492194,100,100,1
1496964,100,100,1
1505194,100,100,1
1505973,100,100,1
1510649,98.73,95.45,1
