Position,Freq_D,Freq_R,SNPs
371,100,100,1
1977,100,100,1
2532,100,100,1
7585,100,100,1
9143,100,100,1
9304,100,98.82,1
13460,100,100,1
14401,100,100,1
15117,100,100,1
15267,100,100,1
23174,100,100,1
27020,100,98.18,1
27469,100,100,1
28640,100,100,1
36538,100,100,1
37031,100,98.25,1
39758,100,100,1
40771,100,100,1
42281,100,100,1
43945,100,100,1
50557,100,97.3,1
51949,100,100,1
54394,100,100,1
70267,100,100,1
79826,100,95.56,1
80541,100,100,1
80616,100,100,1
81649,99.4,100,1
89200,100,100,1
92199,100,98.15,1
97696,100,100,1
103600,100,100,1
117880,100,100,1
123520,100,100,1
126803,99.07,100,1
139756,100,100,1
143207,100,100,1
143262,99.46,100,1
151169,100,100,1
171065,100,100,1
194681,100,100,1
195360,100,100,1
196642,99.45,100,1
199470,100,100,1
202106,100,100,1
205271,100,98.88,1
206481,95.19,95.83,1
206484,95.15,100,1
208322,100,100,1
212244,99.35,100,1
217201,100,100,1
223752,98.98,100,1
225668,100,100,1
231114,98.93,100,1
232361,100,98.15,1
233358,100,100,1
233364,100,100,1
237482,100,100,1
243598,100,98.57,1
249522,100,98.81,1
251575,100,100,1
251669,100,100,1
260282,100,100,1
281627,100,100,1
283377,100,98.65,1
283614,100,100,1
284047,99.43,100,1
285871,100,100,1
304923,100,100,1
309765,100,100,1
313755,100,100,1
317300,100,100,1
320180,100,100,1
325505,100,100,1
328352,100,100,1
331588,100,100,1
342146,100,100,1
343281,100,100,1
365513,100,100,1
376774,100,98.46,1
381030,100,100,1
391853,100,100,1
392261,100,100,1
397910,100,100,1
404326,100,100,1
412280,100,100,1
422745,100,100,1
438271,99.24,100,1
444309,100,97.1,1
445780,100,99,1
447442,100,100,1
454253,100,100,1
455325,99.49,99.11,1
455329,100,100,1
457452,100,100,1
468357,100,100,1
483935,100,100,1
489935,100,100,1
491742,100,100,1
492150,100,100,1
498531,100,100,1
498557,100,98.81,1
505454,100,100,1
505974,100,100,1
514657,100,100,1
517358,100,100,1
517411,100,100,1
519185,100,100,1
522081,99.08,100,1
524891,100,100,1
527316,100,100,1
528354,100,97.98,1
534427,100,100,1
546357,100,100,1
551525,100,100,1
555991,100,100,1
559398,100,100,1
565404,100,100,1
565655,100,100,1
573384,100,100,1
579415,100,100,1
580772,100,100,1
584171,100,100,1
584511,100,100,1
587065,100,100,1
590763,100,100,1
597816,100,100,1
599868,100,100,1
