Position,Freq_D,Freq_R,SNPs
1977,100,100,1
2532,100,100,1
5390,100,100,1
7585,100,100,1
9143,100,100,1
9304,98.85,100,1
13460,100,100,1
14401,100,100,1
15117,100,100,1
23174,100,100,1
27469,100,100,1
28640,100,100,1
35188,100,100,1
36538,100,100,1
37031,100,100,1
39758,100,100,1
42281,100,98.44,1
43945,100,100,1
49000,100,100,1
50557,98.25,100,1
51949,98.86,100,1
52436,100,100,1
54394,100,100,1
62076,100,100,1
66266,98.9,100,1
70267,100,100,1
74217,100,100,1
80616,100,100,1
89200,100,100,1
92199,98.88,100,1
97696,100,100,1
103600,100,100,1
123520,100,100,1
126803,100,100,1
138799,100,100,1
139756,100,100,1
143207,100,100,1
159048,100,100,1
160618,100,100,1
166988,100,100,1
194681,100,100,1
195360,100,100,1
196642,100,98.8,1
199470,100,100,1
203999,100,100,1
206481,94.59,96.3,1
206484,97.37,100,1
208322,100,100,1
212244,100,100,1
217201,100,100,1
223752,100,98.68,1
225668,100,100,1
231114,100,98.92,1
233358,100,100,1
233364,100,100,1
243598,100,100,1
249522,100,100,1
251575,100,100,1
251669,100,100,1
260282,100,100,1
283614,100,100,1
285871,100,100,1
290633,100,100,1
291362,100,100,1
300881,100,100,1
304923,100,100,1
309765,100,100,1
317507,98.8,100,1
317803,100,100,1
320180,100,100,1
325505,100,100,1
330373,100,100,1
331588,100,100,1
342146,98.81,100,1
343281,100,100,1
364359,100,100,1
376774,100,100,1
381030,100,100,1
391853,100,100,1
392261,100,100,1
404326,98.97,100,1
412280,100,100,1
422745,100,100,1
438271,100,100,1
441139,100,100,1
445780,100,100,1
447442,99.17,100,1
455325,100,100,1
455329,100,100,1
457452,100,100,1
468357,100,100,1
483935,100,100,1
489935,100,100,1
491742,100,100,1
492150,100,100,1
498531,100,100,1
498557,100,100,1
505974,100,100,1
508469,100,100,1
514657,98.31,100,1
517358,98.85,100,1
517411,100,100,1
519185,100,100,1
522081,100,100,1
524891,100,100,1
527316,100,100,1
528354,100,100,1
534427,100,100,1
546357,100,100,1
551525,100,100,1
555991,100,100,1
559038,100,100,1
565404,100,100,1
565655,100,100,1
573384,100,100,1
